review,rating,label,clean_review,label_encoded
apa jurusan SMK hanya 6 saja?,4,Positif,apa jurusan smk,2
"aplikasi ini bagus, pembahasannya cukup serupa dengan apa yg saya pelajari di buku paket/sekolah dan ada beberapa juga yg gratis. Di tambah ada kuis nya sehabis menonton vidio yg dimana makin mengetahui kemampuan kita, saya tdk bohong kalo pun ada rezeki pasti akan berlangganan di ruangguru ini, approve",5,Positif,aplikasi bagus pembahasannya cukup serupa apa yg pelajari buku paketsekolah beberapa yg gratis tambah kuis nya sehabis menonton vidio yg makin mengetahui kemampuan tdk bohong kalo rezeki berlangganan ruangguru approve,2
"Waktu awal aku belajar itu susah karena aku berusaha nyari nyari video belajar yang cocok buat aku cuma susah dan penjelasan nya menurut aku lumayan cuman kurang paham, nah sekarang Belajar pake Ruangguru menurut aku jadi lebih mudah dan lebih cepet paham karena ada video belajar, contoh soal dan kuis, itu aja sih, thanks Ruangguru 🌝🤠🎉",5,Positif,waktu awal aku belajar susah aku berusaha nyari nyari video belajar cocok buat aku cuma susah penjelasan nya aku lumayan cuman kurang paham nah sekarang belajar pake ruangguru aku jadi lebih mudah lebih cepet paham video belajar contoh soal kuis aja sih thanks ruangguru,2
membantu banget dalam belajar,5,Positif,membantu banget belajar,2
membantu buat belajar😃,5,Positif,membantu buat belajar,2
Halo saya sangat Berterima kasih Ya untuk aplikasi nya sangat membantu dan bagus saya untuk kerjaan PR saya Terima kasih Ya untuk aplikasi nya 🙏🙏 Boleh saya minta no whatsapp nya Maaf ya,5,Positif,halo sangat berterima kasih aplikasi nya sangat membantu bagus kerjaan pr terima kasih aplikasi nya minta no whatsapp nya maaf,2
baguss walaupun apk nya banyakan panganan semua 🗿🗿,5,Positif,baguss walaupun apk nya banyakan panganan semua,2
"seruu banget bisa belajar matematika yg materi bangun ruang dll, ya walaupun ada materi yg harus berlangganan, tapi pokoknya seruuu deh..",5,Positif,seruu banget belajar matematika yg materi bangun ruang walaupun materi yg berlangganan pokoknya seruuu deh,2
bagus sekali apikalsi ini😃😃😃😃,5,Positif,bagus sekali apikalsi,2
nih aplikasi bagus banget buat belajar cuma aku kismin jadi ga bisa ambil paketan☺️,5,Positif,nih aplikasi bagus banget buat belajar cuma aku kismin jadi ga ambil paketan,2
Jangan gpt lebih baik belajar ruang guru,5,Positif,jangan gpt lebih baik belajar ruang guru,2
"penjelasan videonya mudah dimengerti dan interaktif, fitur poin, dan pet membuat motivasi lebih buat belajar lagii, kerenn membantu pejuang PTN",5,Positif,penjelasan videonya mudah dimengerti interaktif fitur poin pet membuat motivasi lebih buat belajar lagii kerenn membantu pejuang ptn,2
Tolong tambahkan fitur subtitel agar belajar lebih optimal lagi,5,Positif,tambahkan fitur subtitel belajar lebih optimal,2
loding nya lama,1,Negatif,loding nya lama,0
"ini aneh banget, masa aku mau login ke akun ga ada pilihan loginnya. cuman ada daftar doang. gimana sih min???",3,Netral,aneh banget masa aku mau login akun ga pilihan loginnya cuman daftar doang gimana sih min,1
ngeleg gk ngerespon dengan baik selalu saja keluar aplikasi sendiri -_-,3,Netral,ngeleg gk ngerespon baik selalu keluar aplikasi sendiri,1
saya bisa belajar lebih banyak dan lebih paham,5,Positif,belajar lebih banyak lebih paham,2
saya bisa memahami perbedaan antara data kualitatif dan data kualitatif semoga bermanfaat 👍👍,5,Positif,memahami perbedaan data kualitatif data kualitatif semoga bermanfaat,2
bagus banget buat belajar,5,Positif,bagus banget buat belajar,2
