review,rating
minus langganan,5
"pengguna baru ruang guru, serasa punya guru privat😁",5
sangat membantu sekali,5
bagus,5
keren bang appnya pliss update trs biar gw pinter banget jadinya,5
apa jurusan SMK hanya 6 saja?,4
"aplikasi ini bagus, pembahasannya cukup serupa dengan apa yg saya pelajari di buku paket/sekolah dan ada beberapa juga yg gratis. Di tambah ada kuis nya sehabis menonton vidio yg dimana makin mengetahui kemampuan kita, saya tdk bohong kalo pun ada rezeki pasti akan berlangganan di ruangguru ini, approve",5
bagus banget,5
"Waktu awal aku belajar itu susah karena aku berusaha nyari nyari video belajar yang cocok buat aku cuma susah dan penjelasan nya menurut aku lumayan cuman kurang paham, nah sekarang Belajar pake Ruangguru menurut aku jadi lebih mudah dan lebih cepet paham karena ada video belajar, contoh soal dan kuis, itu aja sih, thanks Ruangguru 🌝🤠🎉",5
membantu banget dalam belajar,5
"bagusss,lngsung ngertii",5
baguss,5
SANGAT MEMBANTUU,5
membantu buat belajar😃,5
Halo saya sangat Berterima kasih Ya untuk aplikasi nya sangat membantu dan bagus saya untuk kerjaan PR saya Terima kasih Ya untuk aplikasi nya 🙏🙏 Boleh saya minta no whatsapp nya Maaf ya,5
hebat,5
baguss walaupun apk nya banyakan panganan semua 🗿🗿,5
"seruu banget bisa belajar matematika yg materi bangun ruang dll, ya walaupun ada materi yg harus berlangganan, tapi pokoknya seruuu deh..",5
mantap,5
bagus sekali apikalsi ini😃😃😃😃,5
nih aplikasi bagus banget buat belajar cuma aku kismin jadi ga bisa ambil paketan☺️,5
Jangan gpt lebih baik belajar ruang guru,5
Jelek,1
"penjelasan videonya mudah dimengerti dan interaktif, fitur poin, dan pet membuat motivasi lebih buat belajar lagii, kerenn membantu pejuang PTN",5
Ruangguru:Bimbel....,5
baguss.,5
good,5
Tolong tambahkan fitur subtitel agar belajar lebih optimal lagi,5
loding nya lama,1
Bagusss,5
"ini aneh banget, masa aku mau login ke akun ga ada pilihan loginnya. cuman ada daftar doang. gimana sih min???",3
ngeleg gk ngerespon dengan baik selalu saja keluar aplikasi sendiri -_-,3
saya bisa belajar lebih banyak dan lebih paham,5
saya bisa memahami perbedaan antara data kualitatif dan data kualitatif semoga bermanfaat 👍👍,5
bagus banget buat belajar,5
"apk yang wajib dan recommended utk dicoba dan berlangganan. Saat masih ragu-ragu kita juga bisa menonton 1 subbab video gratis sebagai uji coba, hal yang saya rasakan selama 2 tahun langganan bagus, saya sangat terbantu dalam pelajaran apalagi mencakup BioFisKim . Walaupun terkadang ada bug yang agak menjengkelkan seperti saat mengakses soal yang ada hitungannya,, gambarnya tidak tersedia. Semoga bisa diperbaiki lagi, device minimum 6 gb++, memory 64 gb and processor helio g85",4
positif banget buat belajar,5
mudah di pahami,5
ribet,1
wow ini bagus sekali,5
mendukung pembelajaran org dg metode visualisasi,5
"baru sekali pake apk ini, cukup bagus lah cocok untuk sy yg belajar buat ujian",4
10/10 bagus apl nya,5
chat salesnya mengganggu.,1
"fitur2 nya canggih, banyak soal2 yg baru n fresh, ga akan nyesel pake ini. belajar jadi lebih mudah dan praktis😍 kalian tertarik? kuyy cobain sekarang😉",5
bagus yah kalo bjlr diruang guru materinya lebh mudah dipahami dan runtut penjelasannya.,5
sangat membantu dalam pembelajaran suka sama penjelasan nya juga saya kagum sekali karna setiap ada keluhan saya melihat pihak dari ruang guru selalu memberikan saran🤍,5
sangat ramah bahkan gw aja dinelpon Ama kak Erika loh,5
aplikasi nya bagus banget nilai aku nambah yang awalnya hanya 70—80 sekarang sudah 100 hebat banget deh,5
belajar menyenangkan,5
absolute seru,5
penyampaian jelas dan sangat berguna. Namun tolong jika ingin menghubungi peserta didik 1 orang saja agar tidak bingung,3
apk nya baguss mudah di pahamii saya juga jadi ngerti pelajaran yang menurut saya susahh pokoknya apk nya baguss dehh buat kalian aku rekomendasi nihh apk makasihh udah buat aku pahamm pelajaran ruangguruu,4
"tiba-tiba aplikasinya kayak eror gitu, ga bisa ubah nama + kelas. padahal udah update",3
aplikasinya udah bagus menarik dan juga belajar nya lebih seru dan juga ada banyak fitur udah gitu ada avatar nya seru pokoknya udah gitu mt nya baik dan ramah pembahasan nya juga bagus aplikasi nya udah mantap dan sekarang makin bagus udah di evaluasi gak ada kendala rating eror dan udah gak lagi kalo kuis sendiri sendiri atau post test masih ada waktu kekumpul dan tryout juga pembahasan lengkap dan udah gak lemot dan gak ada lagi pas masih ada waktunya ke kumpul,5
"bagus, saya menjadi lebih mengerti.Pokok nya d'best",5
"Postingan nya bagus nih, bisa di gunakan untuk belajar di kelas",5
bagus sih tapi bayarnya juga lumayan mahal gak ada gratisan,5
aku daftar akun gw namun setelah selesai lah lama loadingnya jadi kesal aku jadi tolong perbaiki ya gw kasih 1 bintang,1
SANGAT MEMBANTU,5
pembelajaran nya bagus,5
"menurutku fiturnya udah bagus dan lengkap, saran aja agar dibuat kan tampilan khusus pada tablet, karena pada tablet tidak mendukung landscape.",5
sangat bagus,5
sekarang rgnya udah lebih baik tapi tolong kembalikan fitur yang bisa liat histori rc kita,3
"pendidikan yang amat padat dan mudah di pelajari usahakan sejak dini hari..semenjak menginjak bersekolahan rame bannyak teman,keputusanku bernilai di matamu....wahai pak guru yang berjasa mulia,,karomah, agung,aku sebagai murid siswa,mengakui semua kesalahanan,biar menjadi kisah ku ok .ok.ok eeehhhhaaammmm",5
"bagus kaya bimbel mandiri dirumah gitu loh , rekomendet banget 😆😆🤍🤍🩵🩵",5
"TYMAKASYIII RUANGGURUU, akuu jadi lebih semangat 1000× lipatt buat belajarr:33 AKUU BERLANGGANAN SAMPAAII LULUS HEHEHE >O<",5
the best cara menjelaskannya gk terlau cepat dan cara menyampaikannya kreativ,5
bagus ada dafa dan lulu,5
nah aku kan gak bayar sama sekali kok malah ditagih padahal aku gak bayar sama sekali,1
ini sangat mengganggu karena di spam terus menerus padahal saya sudah uninstal tetapi tetap saja di spam,1
seru dan udah ada jawabannya. instal ya😁 ruang guru. ruangnya guru wkwkwk 😂tapi tetep seru😀 seru banget😍,5
"aneh, yang di pelajarin kan pendek, pas di suruh milih malah panjang dan harus di kali di tambah di kurang, padahal pas di pelajarin ga ada kayak gitu",2
kenapa kalau nonton video harus berbayar terlebih lagi saya guru punya anak SD dia mau belajar tapi terkunci kalau bisa vidio yang terkunci hanya di khusus pada video anak SMP SMA saja kerena anak SD butuh bimbingan juga mereka masih kecil jadi mereka ingin tau lebih dalam,1
buat belajar,5
"sangat membantu saya saat belajar,dan video"" nya mudah di pahami dan dimengerti",5
sebenernya aku kesel soal nya aku gak punya wa nomer wa apalagi wa aja gak ada padahal pengen bgt belajar mtk kalian gk ada ide buat yang gak pake wa apa kesel bgt tau 😭😭😭😭😭,1
"aplikasi nya worth it,cocok di buat ulangsn harian,atau kenaikan kelas",5
kadang ada masalah,3
penjelasan cukup jelas sesuai dengan pelajaran yang ada di sekolah,5
cocokkk bangett buatt anak yang masihh sekolah untuk bimbingan belajar tambahan,5
kak ini bisa ngk ya buat latian soal,5
aplikasi ruangguru ini bisa membuat kita memahami materi sebelum nya yang sudah saya pelajari disekolah tapi saya belum memahaminya,5
Sangat membantu dalam proses pembelajaran,5
gapapa bagus,5
sangat membantu pembelajaran,5
apk ini harus byar,4
"auto uninstall app ini😡 krn begitu dibuka langsung di-wa dan di- telp marketing2nya. Dan ga cukup satu orang. ganggu bgt🙄!! padahal di dunia nyata, anak2 sudah les math camp dan sempoa di ruang guru juga.",1
ruang guru ini bisa membantu saya dalam belajar untuk mempersiapkan kelulusan. intinya ruangguru the best,5
"aplikasinya keren,anak jadi semangat belajar dan merasa seru dan pelajaran nya jadi lebih mudah di pahami",5
suka belajar disini berasa lebih fun,5
Bagus cuma mau nonton video harus premium,3
wow- nabil arsenio,5
sangat tidak worth it . saya sudah instal ini dari dulu pas saya mau buka buat nonton live ehh Malah Stuck diloading muluu,1
"aplikasi yang sangat berguna untuk membantu mengerjakan pekerjaan sekolah, khususnya matematika ada pembahasan soal jadi mudah untuk dipahami",5
positif thingking mungkin bisa jadi bagus soal nya aku baru coba,4
bagus sekali bisa belajar banyak hal disini 👍🏻,5
Bagus bangett,5
aplikasi yang bagus budaya memilih ajaran sesuai yang kita mau dan disini lengkap dan ramah banget kaka yg ngejelasin nya makasih ya ruangguru,5
semoga ruang guru ini bisa membuat ku pintar,5
saat bingung mau dekat ujian download ini ajah biar ilmu mu makin kuat untuk melewati ujian,5
ini sangat bermanfaat untuk kita belajar,5
seruuuuu,5
tidak berguna gurunya juga tidak propesional,1
"aplikasi nya keren,baik, dan mengasah kepintaran terimakasih ruang guru🙏🏻",5
ilmu sosial dan perkalian,5
banyak fitur-fitur yang memudahkan saya untuk belajar,5
cara pembelajaran menarik,5
"terlalu berbelit dan ribet, tolong perbaiki lagi ,, serta soal hilang timbul,",1
"sebenarnya bagus ya tpi, mahal bgt aku tu termasuk miskin gitu boro boro beli mobil sawit aja gk punya, kukira dulu gratis eh ternyata bayar 💸",4
"aduh, tolong dong Ruang guru jangan ngechat tiap jam sekali dan maksa maksa ambil paketan. Aku yang awalnya excited mau belajar di ruang guru karena dekat dengan rumahku, jadi kesel bgt dan gajadi ambil paketan gara gara konsultan pendidikan ruang guru(*katanya) ngechatin muluuuu setelah aku bilang aku mau ambil paketan coba coba dan aku pikirkan dulu sbntar. eh dia nya ngeburu-buruin bilang ""skarang"" ""nnti diskonnya/promonya habis"" dll.. smpe ngechat aku pake nomor lain. jangan gitu bgt plissss",1
udah isi nomer hp malah katanya tidak valid aplikasi tidak becus,1
keluar mulu,1
Ganggu orang liat sinetron aja iklan sampah,1
aktivitasnya menyenangkan dan menambah pengetahuan,5
wow sangat keren banget!,5
"aplikasi yang bagus ,bisa bantu belajar anak",5
saya sangat senang bisa dapat belajar dari ruang guru tanpa bingung bagaimana mengerjakan tugas-tugas tersebut 😊☺️😊☺️,5
"wee ini apk knp ngebug terus wee 😭 tolong perbaiki, suka greget banget rasanya, mau belajar padahal",4
jadi fokus deh!,5
seru banget,5
🫰🏻,4
"jujur sebenarnya ruangguru itu bagus baget, tapi aku sering kali kesusahan cari materi karena kurikulum. sekarang pakai aku pakai kurikulum merdeka, aku search materi nya itu ada beberapa yang gk ada, dan harus ganti ke K13/K13 revisi, jadinya agak ribet. dan biasanya pilihan materi di K13/K13 revisi itu lebih banyak.",3
semoga nilai mtk ku yang jelek itu menjadi bagus😞,5
allhamdulilah sejak pake ruang guru belajar jadi gampang,5
bagus si 💃🔥,5
bagus pembelajarannya,5
"mantap banget, aku syukaa🥰",5
aplikasi ruang guru membantu saya untuk mengulang 2 pelajaran saya dari kls 1 hingga kls 7 ini.,5
bagus aplikasi nya bisa buat belajar & bimbel online☺️,5
"mantapppp,bikinn otakk kuuu mulaii aktiff lagii,kecanduann 😚",5
mudah untuk dipelajari,5
"haiii ruangguru! aku ke sini lagi mau ngucapin terimakasih atas bantuannya, ya selama ini! MAKASIHH UDAH NEMENIN AKU BERJUANG DI FASE NGEJAR PTN, NEMENIN PERJUANGAN AKU DAPETIN KAMPUS KUNING ITUUU. doain ya, tgl 25 mei besok aku dapet ucapan selamat! 🤗💙 Sehat sehat etmin ruangguru dan semuanyahhh 💙",5
bagus banget nilai aku juga naik gara gara ruangguru terimakasih yaa ruangguru semoga makin sukses😉,5
this is a best aplication for preparing snbt,5
"Tidak jelas, saya lupa sandi, saat saya ingin merubah sandi saya selalu muncul ada kesalahan pada sistem, saya sudah menunggu selama 2 hari masih saja error.",1
karna aku les di ruang guru❤️❤️❤️,5
"Hai aku pengguna baru apk ruang guru,aku butuh untuk UM ( ujian madrasah ) soalnya aku kalau belajar tu sebenarnya niat cmn otakku yang sulit memahami yang di pahami juga kadang dikit sisanya zonk semua,aku berharap dengan memberi Bintang lima dan mendowload aplikasi ini bisa membantuku belajar lebih efektif dan efisien,terima kasih ❤️",5
"aplikasi jelek, sering lag parahh materinya bagus cmn ya gitu kuis interaktif sulit diakses gr2 apknya jd putih",1
"Bagus aplikasi, rekonstruksi lengkap semua untuk belajar dari SD - Perguruan Tinggi. Semangat semua kakak - kakaknya, izin pakai juga ambil video untuk tugas ya🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻👍🏻",5
tolong tambahin materi belajar untuk um ugm,1
lumayan bisa belajar dengan baik,5
bagus bngtt,5
sangat bagus dan cocok untuk sy belajar lebih dalam lagi 💐💐💐💐💐💐,5
"LOV BANGET DEH SAMAAAA RG, LINGKUNGANNYA ENAK BANGET BUAT BELAJAR 🩷💘❤️♥️",5
"video pembelajaran ruang guru membantu dalam memahami materi , ada drill , kuis, dan rangkuman materi.",4
ngebantu banget,4
saya merasa terbantu dengan adanya ruang guru,5
"aplikasi ini best banget, aku suka banget karna belajar nya pake video 😍 , cuma ada beberapa pelajaran yang gak ada di aplikasi ini 😔 kayak ppkn, dll, tapi lumayan bagus buat belajar👍 pokoknya the beast banget ☺👏👍💖 yang kesulitan belajar wajib download ini ❤ aku suka sama cara belajar nya, ada kuis jadi lengkap banget ☺ makasih ya, belajar jadi lebih menyenangkan ❤😊 tapi sayang banget 😔 harus langganan buat nonton video lengkap nya jadi cuma bisa nonton yang gratis 🥲 karna gak dapet iji",5
"Ruangguru knpsih kuisnya di ruangbelajar selalu ngeglitch? jd susah mw ngejawab soal, krn pada ngelag glitch gt. Abis itu jg kl misal kita ada misi ngerjain satu kuis buat buka peti dr pet kita, abis aku kerjain malah ga nambah progressnya, harus nyelesain banyak kuis dl br bisa unlock isi petinya. Trs kadang jg tiap aku ikut sesi BAO gabisa kepencet pollingnya padahal udah aku klik, jd kadang aku ga dapet panen bintang padahal jawabanky bener. Tolong diperbaiki ya ruangguru 🙏🙏🙏",2
"just one sentence ""Ruangguru is the best application for everyone""",5
selalu nemenin untuk utbk !,5
keren,5
aplikasinya sangat membantu sekali,5
bagus & bikin anak mudah belajar👍,5
ruang guru sangat bagus untuk belajar saya menggunakan aplikasi ini prestasi saya menjadi semakin meningkat,5
lumayan bagus pet ny juga lucu,5
Semoga bisa membantu Pemahaman Saya utk belajar. Terimakasih,5
terimakasih ruang guru saya bisa memahami pelajaran yang saat tidak mengerti di sekolah walaupun saya saya tidak punya uang untuk les tambahan tapi ada masa percobaan gratis☺️🙏,5
"buat yang bagian utbk-mandiri, tambahin UM UGM dong🥹🥹 jangan SIMAK doang🙏🏻🙏🏻😞😞 butuh bangett bingung mau belajar darimana",5
lancar dan ok,5
"recommended banget! aplikasinya ada games seru plus kuis belajar lengkap, kalau ada jawaban yang salah dikasih penjelasan, cocok banget buat yang tka (:",5
aplikasi ini sangat membantu untuk belajar,5
baik,5
menarik banget,5
"ok bug nya sudah teratasi, jadi terimakasih. tapi masalah nya muncul lagi, yaitu apk nya sering keluar sendiri, padahal hp ku ini ram nya udah lebih dari cukup dan prosesor nya juga dah masuk di kelas menengah kok 😐",3
"aplikasinya bagus, tp sering eror. tolong diperbaiki. mau ngerjain quiz sama post test gitu gitu gbs eror loading trs",3
aplikasi banyak bug,1
sangat membantu dalam belajar saya,5
"aplikasinya bagus, tapi, tidak tersedia aplikasi bagi pengguna windows.",5
"Saat pakai fitur drill, soal yang berbentuk tabel sering tidak muncul atau sering terpotong dan tidak lengkap di tampilan hp, mungkin kalau di tampilan laptop terlihat, tapi di hp tidak terlihat tabel soalnya, jadi tidak bisa mengerjakan. Minta tolong ya",5
"Makin sering ngelag dan bug, padahal jaringan aman, perangkat aman, cache udh diclear, tetep aja keluar sendiri",2
sangat bagus untuk pembelajaran,5
"ini app seruuu bgt ,guru""ya juga asik""🤍",5
terimakasih 🤞,5
CS nya bagus hehe🤭🤭💋💋,5
lebih efektif untuk belajar,5
alhamdulillah akhirnya bisa belajr dirumah,5
bagus banget cocok untuk belajar menambah ilmu,5
aku perpanjang sampe 2× sangking sukanya🥹👏🏻,5
aplikasi yang sangat membantu buat belajar sendiri,5
"suka banget sama materi nya yang seru dan asik, tapi ko akhir"" ini aku pake ga bisa ngerjain soal ya ga muncul soal dan jawaban nya tapi kalo liat video pembahasan bisa itu kenapa ya",4
jujur ya masa harus berbayar,1
"KLO buat belajar bintang lima, TPI servernya lemot bgt mau drill soal nunggu loading bisa 2menit woilah.mana KLO buat quiz kdng GK nyambung Ama materi kdng 1-2 materi Bru relevan Ama quiz di video sblmnya🥲",1
yaallah kasih Terima ka unhas dengan bantuan ruang guru ini,5
kerenn,5
sukaa rate 100/100000000,5
"bagus banget nilai ku naik sama kalo belajar jadi seru karna ruang guru, terimakasih ruang guru 🥰🥰",5
Bagus tapi kadang error,5
Saya kenapa ga bisa ganti/tambah jurusan di SNBT Center yaah?,3
aplikasi keren di sini kita bisa belajar dan bermain,5
"sinyal lancar, dipake scroll aman, maen game jga aman. pas dipake drill soal malah muter2 terus, 1 jam gw abis gara2 masalah ginian🙄",1
ini bisa membantu aku belajar dengan konsisten ✨✨,5
kurang,3
bagus banget apk nya sangan membantu dan bermanfaat,5
"semuanya bagus, kecuali sistemnya, suka error:)",3
karna harus berlangganan,1
"bagus bangettt, tapi kadang aku udah nonton berkali kali tetep gak paham, mungkin metode yang itu kurang sreg tapi good job pokok nya",5
"seru banget belajar nya, gampang paham",5
aplikasi ini cucok utk anak2 serwuuu bgt,5
"aku suka banget suamanya ada, dan lengkap di sini",5
"ak udh bolak balik beli tryout pake bintangku, dan ak juga udh langganan ke rg. tpi skrng mau nyoba try out tu harus milih jurusan dlu dan pas milih malah gaada tanda centang lagi haha, kenapa si apk nya tuh. ngeselin😌 udh premium padahal ak, jgn ngecewain dong",1
enak banget belajar di ruang guru,5
